program	rep	depth	noReads	percMutate	targMut	lenRef	refMatch	refSnp	refIns	refDel	refNs	matches	snp	ins	del	Ns	elpTime	sysTime	UserTime	memKb	percCPU	seed	usedSeed	medakaModel	usedMedaka	usedMajCon	minLen	minDepth	fastq	schemeDir	scheme	schemeVer	prefix	conDef	conScaffoldBuilder	conStich
artic	10	30	2790	0	0	1700 0 0  0  0 0	1700 0 0 0 127   28.42	3.35	27.83	383116	109%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	0	0	1700 0 0  0  0 0	ERR	ERR	ERR	ERR	ERR   47.53	8.39	95.43	321808	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	0	0	1700 0 0  0  0 0	ERR	ERR	ERR	ERR	ERR   47.53	8.39	95.43	321808	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	0	0	1700 0 0  0  0 0	ERR	ERR	ERR	ERR	ERR   47.53	8.39	95.43	321808	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
Lilo	10	30	2790	0	0	1700 0 0  0  0 0	ERR	ERR	ERR	ERR	ERR   47.53	8.39	95.43	321808	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	true	false
LiloIvar	10	30	2790	0	0	1700 0 0  0  0 0	ERR	ERR	ERR	ERR	ERR   47.53	8.39	95.43	321808	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
Lilo	10	30	2790	0	0	1700 0 0  0  0 0	ERR	ERR	ERR	ERR	ERR   47.53	8.39	95.43	321808	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	true
ivar	10	30	2790	0	0	1700 0 0  0  0 0	1700 0 0 0 30   0.09	0.00	0.16	8576	184%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
ivarTrim	10	30	2790	0	0	1700 0 0  0  0 0	1700 0 0 0 413   0.09	0.00	0.15	8848	171%	1024	10240	NA	false	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	false	false	false
artic	10	30	2790	100	17	1700  1683 17 0 0 0	1700 0 0 0 127   29.53	3.18	29.13	383976	109%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
LiloIvar	10	30	2790	100	17	1700  1683 17 0 0 0	ERR	ERR	ERR	ERR	ERR   47.57	8.66	95.23	320704	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
Lilo	10	30	2790	100	17	1700  1683 17 0 0 0	ERR	ERR	ERR	ERR	ERR   47.57	8.66	95.23	320704	218%	1024	10240	r941_prom_high_g344	true	false	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	10-new-bench/10-bench-artic-ivar	true	false	false
